Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Respiration Disorders	1
IL1B gene|IL1B	AFFECTS	Diabetic Nephropathy	1
IL1B	ASSOCIATED_WITH	Chronic Childhood Arthritis	1
IL1B gene|IL1B	PREDISPOSES	Febrile Convulsions	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteoporosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningococcal Infections	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hereditary Periodic Fever Syndromes	1
Interleukin-1 beta|IL1B	CAUSES	Glucose Intolerance	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Duodenal Ulcer	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	AIDS Dementia Complex	1
IL1B gene|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	1
IL1B	CAUSES	Chronic Childhood Arthritis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Communicable Diseases	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningitis, Bacterial	2
IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	2
Interleukin-1 beta|IL1B	AUGMENTS	Acquired Immunodeficiency Syndrome	1
Interleukin-1 beta|IL1B	AUGMENTS	Uveitis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Myasthenia Gravis	1
Interleukin-1 beta|IL1B	AFFECTS	Diabetes Mellitus, Non-Insulin-Dependent	1
IL1B gene|IL1B	ASSOCIATED_WITH	Gastroesophageal reflux disease	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory disorder	8
IL1B gene|IL1B	ASSOCIATED_WITH	Inflammatory disorder	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	5
Interleukin-1 beta|IL1B	PREDISPOSES	Keratoconus	1
IL1B gene|IL1B	ASSOCIATED_WITH	Gingivitis	1
IL1B gene|IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1
Interleukin-1 beta|IL1B	PREDISPOSES	Infection, H Pylori	1
Interleukin-1 beta|IL1B	CAUSES	Communicable Diseases	1
IL1B gene|IL1B	PREDISPOSES	Infection, H Pylori	1
IL1B	CAUSES	Degenerative polyarthritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1
Interleukin-1 beta|IL1B	CAUSES	Diabetes	1
IL1B	AFFECTS	Disease	1
Interleukin-1 beta|IL1B	AFFECTS	Degenerative polyarthritis	1
IL1B	ASSOCIATED_WITH	Primary gout	1
IL1B	DISRUPTS	Degenerative polyarthritis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	thrombocytosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Candidiasis	1
IL1B	AUGMENTS	Communicable Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Celiac Disease	1
IL1B gene|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	4
IL1B	ASSOCIATED_WITH	Graves' Disease	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal infection	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hepatitis C, Chronic	1
