Interleukin-1 beta|IL1B	CAUSES	Virus Diseases	1	7592
Interleukin-1 beta|IL1B	PREDISPOSES	Liver Cirrhosis, Alcoholic	1	849
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	destruction; bone	1	929
IL1B gene|IL1B	ASSOCIATED_WITH	Peptic Ulcer	1	2332
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myelitis	1	331
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Respiration Disorders	1	2689
IL1B gene|IL1B	AFFECTS	Diabetic Nephropathy	1	2807
IL1B	ASSOCIATED_WITH	Chronic Childhood Arthritis	1	1481
IL1B gene|IL1B	PREDISPOSES	Febrile Convulsions	1	548
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteoporosis	1	4418
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningococcal Infections	1	533
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hereditary Periodic Fever Syndromes	1	18
Interleukin-1 beta|IL1B	CAUSES	Glucose Intolerance	1	1342
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Duodenal Ulcer	3	1827
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	AIDS Dementia Complex	1	330
IL1B gene|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	1	5036
IL1B	CAUSES	Chronic Childhood Arthritis	1	1481
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	2	5036
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Communicable Diseases	3	29099
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningitis, Bacterial	2	969
IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	2	5144
Interleukin-1 beta|IL1B	AUGMENTS	Acquired Immunodeficiency Syndrome	1	7204
Interleukin-1 beta|IL1B	AUGMENTS	Uveitis	1	2214
IL1B gene|IL1B	ASSOCIATED_WITH	Myasthenia Gravis	1	1728
Interleukin-1 beta|IL1B	AFFECTS	Diabetes Mellitus, Non-Insulin-Dependent	1	9184
IL1B gene|IL1B	ASSOCIATED_WITH	Gastroesophageal reflux disease	1	2283
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory disorder	8	5240
IL1B gene|IL1B	ASSOCIATED_WITH	Inflammatory disorder	2	5240
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1	8281
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	5	6025
Interleukin-1 beta|IL1B	PREDISPOSES	Keratoconus	1	747
IL1B gene|IL1B	ASSOCIATED_WITH	Gingivitis	1	766
IL1B gene|IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359
Interleukin-1 beta|IL1B	PREDISPOSES	Infection, H Pylori	1	1064
Interleukin-1 beta|IL1B	CAUSES	Communicable Diseases	1	29099
IL1B gene|IL1B	PREDISPOSES	Infection, H Pylori	1	1064
IL1B	CAUSES	Degenerative polyarthritis	1	5144
IL1B gene|IL1B	ASSOCIATED_WITH	Cardiovascular Diseases	1	8281
Interleukin-1 beta|IL1B	CAUSES	Diabetes	1	13776
IL1B	AFFECTS	Disease	1	67526
Interleukin-1 beta|IL1B	AFFECTS	Degenerative polyarthritis	1	5144
IL1B	ASSOCIATED_WITH	Primary gout	1	184
IL1B	DISRUPTS	Degenerative polyarthritis	1	5144
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	thrombocytosis	1	684
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	1	802
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Candidiasis	1	1312
IL1B	AUGMENTS	Communicable Diseases	1	29099
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Celiac Disease	1	2865
IL1B gene|IL1B	ASSOCIATED_WITH	Gastritis, Atrophic	4	802
IL1B	ASSOCIATED_WITH	Graves' Disease	1	2057
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal infection	1	199
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hepatitis C, Chronic	1	1674
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Crohn's disease	2	4047
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2	9184
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pancreatitis	1	6396
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ulcerative Colitis	2	4355
IL1B	ASSOCIATED_WITH	Alcoholic Liver Diseases	1	1290
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Scleroderma	1	1428
IL1B gene|IL1B	ASSOCIATED_WITH	Chronic Disease	1	5153
IL1B gene|IL1B	PREDISPOSES	Resorption of apex of tooth	3	71
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Heart failure	1	8346
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Reactive	1	544
IL1B	DISRUPTS	Diabetic Retinopathy	1	3526
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteodystrophy	1	159
IL1B	ASSOCIATED_WITH	Chronic colitis	1	309
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Bacteremia	1	2739
IL1B gene|IL1B	PREDISPOSES	Stroke, Acute	1	1277
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Acute pelvic inflammatory disease NOS	1	87
IL1B	AUGMENTS	Cardiovascular Diseases	1	8281
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disease	6	67526
IL1B gene|IL1B	ASSOCIATED_WITH	Disease	3	67526
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Malaria, Vivax	1	321
IL1B gene|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2	8193
IL1B gene|IL1B	ASSOCIATED_WITH	Systemic onset juvenile chronic arthritis	1	240
